ticker,company,datetime,text
CRM,"Salesforce, Inc.",2022-09-23 19:41:35+00:00,"Some notable large cap stocks that hit new 52 Week lows today

$AMD
Citi $C
Caterpillar $CAT 
Salesforce $CRM
Google $GOOGL
Intel $INTC
Mastercard $MA
Facebook $META
3M $MMM
Microsoft $MSFT
Micron $MU
Nike $NKE
Nvidia $NVDA
$SE
Shopify $SHOP
Square $SQ
AT&amp;T $T
$UPS
Visa $V"
BA,The Boeing Company,2022-09-23 06:55:00+00:00,"🐳 news:

- $AAPL x NFL superbowl
- Stock trading ban framework for politicians
- SEC x $BA
- Fraudsters stole $45.6B from US unemployment
- Cathie Wood step down $PRNT, $IZRL
- Reverse repos record
- DISCLOSE Act failed
- BOE: UK ~recession
- Futures: https://t.co/nH5RI94Tsz https://t.co/qlRZrhQjna"
ENPH,"Enphase Energy, Inc.",2022-09-23 02:04:39+00:00,"and finally, let's plot $enph trade. It was the last soldier standing in my portfolio.
* 09/06 low pivot entry
* 09/13 added on pullback buy trigger
* Stopped out today on full position (red line stop level). https://t.co/l54q5LmUTU"
META,"Meta Platforms, Inc.",2022-09-22 21:51:28+00:00,"Year-to-Date performance:

1. $FB: -58%
2. $AMZN: -31%
3. $AAPL: -16%
4. $NFLX: -60%
5. $GOOGL: -31%
6. $MSFT: -28%
7. $TSLA: -28%
8. $F: -41%
9. $PYPL: -55%

All FAANG stocks, aside from $AAPL, are now in bear market territory.

The fact that $SPX isn’t down 30%+ is a miracle."
BA,The Boeing Company,2022-09-22 21:24:13+00:00,Here's the 34 S&amp;P 500 stocks with market caps above $20 billion that are now down over the last 5 years on a total return basis.  $META $BKNG $SLB $WFC $C $GILD $BA $GE $MMM $FDX $DD $INTC https://t.co/Ue5QQSDsFA
BA,The Boeing Company,2022-09-22 21:09:08+00:00,JUST IN: The @usairforce has awarded @RaytheonTech a $985M contract to continue development of the Hypersonic Attack Cruise Missile. $RTX beat @LockheedMartin and @Boeing $BA $LMT https://t.co/F1J8RFfYzG
ENPH,"Enphase Energy, Inc.",2022-09-22 18:32:59+00:00,"$SWAV $ENPH $ORA $CLFD $OXY $WOLF $LNTH $CELH

Many leaders are breaching the 50 day on heavy volume or are close to it. If the bear market leaders start to break down, BEWARE! 

Remember the easiest way to determine health 🩺 of the market 🏦 is by how the leaders are acting. https://t.co/xK4hRY8NxJ"
META,"Meta Platforms, Inc.",2022-09-22 16:18:00+00:00,$EPAZ DeskFlex Metaverse Office Technology offers businesses an exciting way to merge the current environment of remote and in-person workplaces. #Meta $FB $MSFT $MTTR $ADBE $NVDA $U https://t.co/XiiqiLPP02
META,"Meta Platforms, Inc.",2022-09-22 07:15:57+00:00,"⚠️BREAKING:

*META STOCK CRASHES TO LOWEST LEVEL SINCE MARCH 2020

$META $FB https://t.co/FpCpfpYPLH"
ZS,"Zscaler, Inc.",2022-09-21 06:02:38+00:00,"Investing 2022.

Doesn't matter if you have $1K, $10K, $100K, $1M, $10M to invest!

This is a unique opportunity. If you don't need the money in the next 3 years just invest in these, log off your brokerage accounts &amp; check back in 2025!

$SNOW, $CRWD, $ZS, $DDOG, $MDB, $TSLA."
XPEV,XPeng Inc.,2022-09-19 20:00:02+00:00,"Analysts are projecting these 10 tech stocks to grow revenue at the highest growth rates over the next 2 years. 

$NU $PLUG $SNOW $NIO $DDOG $GRAB $CRWD $XPEV $NET $TSLA https://t.co/ctUWQZoxw9"
ZS,"Zscaler, Inc.",2022-09-18 16:37:22+00:00,"Zscaler stock popped over 20% after their Q4 earnings report. In this post, I dig into the financial results, large customer activity and their product strategy to continue capturing share in the Zero Trust security market. $ZS

https://t.co/rNKz38yyxm"
XPEV,XPeng Inc.,2022-09-12 19:40:56+00:00,Notice how Chinese stocks rallied when the US market tanked and topped in June when Spx bottomed? I believe they could end up being a solid hedge if the market drops again--Who wants '4 in 1 setups' tweet style but feat $NIO $LI $BABA $XPEV this afternoon?👇🏻💯
NOC,Northrop Grumman Corporation,2022-09-08 20:01:01+00:00,"Today's noteworthy breakouts, moves, and setups: (stocks in trend sorted by relative volume) $AXNX, $ENPH, $PRVA, $EVH, $RS, $QLYS, $SRTS, $NOC, $AR, $ASC, $TH, $STNG https://t.co/jtF1FlX44T"
F,Ford Motor Company,2022-09-08 20:01:01+00:00,"Today's noteworthy breakouts, moves, and setups: (stocks in trend sorted by relative volume) $AXNX, $ENPH, $PRVA, $EVH, $RS, $QLYS, $SRTS, $NOC, $AR, $ASC, $TH, $STNG https://t.co/jtF1FlX44T"
XPEV,XPeng Inc.,2022-09-07 01:11:04+00:00,"Insurance registrations: NIO sells 2,882 vehicles in 1st week of Sept, XPeng 1,849, Li Auto 1,554
https://t.co/AdyMb4PY4A
$NIO $XPEV $LI"
BX,Blackstone Inc.,2022-08-25 20:28:05+00:00,"Blackstone, $BX, single-family landlord halts purchases in 38 cities."
F,Ford Motor Company,2022-08-19 15:39:54+00:00,"Since the Ukranian war, Northrop Grumman Corporation, $NOC, has hit all time highs, up 27%."
NOC,Northrop Grumman Corporation,2022-08-19 15:39:54+00:00,"Since the Ukranian war, Northrop Grumman Corporation, $NOC, has hit all time highs, up 27%."
BX,Blackstone Inc.,2022-08-17 20:14:43+00:00,"$BX thesis per Edgewood:

1) $120T TAM

2) 90% retention among existing LPs driven by brand strength

3) Global scale

4) Improving earnings quality given shift to recurring fees https://t.co/uW0ezOKTOZ"
NOC,Northrop Grumman Corporation,2022-08-17 16:31:06+00:00,"Averages are pulling back from logical supply near their down trending 200-day lines. Biotech offered some powerful trades. Big cap stalwarts like $UNH, $MCD, $NOC, $PEP acting constructive. Potential leaders: $ENPH, $PLAB, $ON, $ALNY, $IMXI, $KRTX, $DY, $DGII, $SIGA, $AZPN."
F,Ford Motor Company,2022-08-17 16:31:06+00:00,"Averages are pulling back from logical supply near their down trending 200-day lines. Biotech offered some powerful trades. Big cap stalwarts like $UNH, $MCD, $NOC, $PEP acting constructive. Potential leaders: $ENPH, $PLAB, $ON, $ALNY, $IMXI, $KRTX, $DY, $DGII, $SIGA, $AZPN."
BX,Blackstone Inc.,2022-08-10 19:00:23+00:00,"✨Upcoming New Listing ✨

#BitMart will list $BX @blockxpress soon！🎉

📢 Follow our official announcement for more details! 👀

⬇️Share in the comments what you like about this project! #BXBitMartListing https://t.co/QUmFMRrTon"
BX,Blackstone Inc.,2022-08-10 12:32:31+00:00,"Maybe a project's happiness is hearing their token get in the Top Traded🚀🚀

This week’s glory👑👑 is for $RAIN $IMT $WEAR #C98 $RUX $LOVELY $BX #BABYDOGE $AURA $CHH

Find these tokens on #Coin98Exchange🔥🔥 https://t.co/DBspPIIVDx"
F,Ford Motor Company,2022-07-27 21:41:10+00:00,"#earnings before the open tomorrow 

sorry this is late... you know... earnings season 

https://t.co/lObOE0dgsr 

$PFE $TLRY $MA $VLO $LUV $MRK $RCL $MO $BAX $BTU $HTZ $OSTK $CVE $HOG $ARCH $HON $CMCSA $AMT $NOC $SIRI $TMO $PCG $BUD $WING $PBF $HSY $STM $CP $AOS $SWK $TROW $RS https://t.co/aymeiFL31q"
NOC,Northrop Grumman Corporation,2022-07-27 21:41:10+00:00,"#earnings before the open tomorrow 

sorry this is late... you know... earnings season 

https://t.co/lObOE0dgsr 

$PFE $TLRY $MA $VLO $LUV $MRK $RCL $MO $BAX $BTU $HTZ $OSTK $CVE $HOG $ARCH $HON $CMCSA $AMT $NOC $SIRI $TMO $PCG $BUD $WING $PBF $HSY $STM $CP $AOS $SWK $TROW $RS https://t.co/aymeiFL31q"
F,Ford Motor Company,2022-07-01 12:07:00+00:00,"Northrop, $NOC, and Raytheon, $RTX, won defense contracts to provide hypersonic missiles.

Politicians were in on the move, BEFORE it happened.

Senator Tommy Tuberville sold off $LMT in January and bought some $NOC in March 2022.

Someone always knows.

https://t.co/lodTLfc2N5"
NOC,Northrop Grumman Corporation,2022-07-01 12:07:00+00:00,"Northrop, $NOC, and Raytheon, $RTX, won defense contracts to provide hypersonic missiles.

Politicians were in on the move, BEFORE it happened.

Senator Tommy Tuberville sold off $LMT in January and bought some $NOC in March 2022.

Someone always knows.

https://t.co/lodTLfc2N5"
Stock Name,Company Name,,Tweet
